,Listing ID,Property Address,City,Zip Code,Neighborhood,Title,Content,Type,Status,Sale Price,Lease Price,Lease Price Type,Building Size (sqft),Land Size (sqft),Agent
10,19890,"1990 Northwest 88th Court, Doral, Florida 33172",Doral,33172,hollywood,"1,800 SF Warehouse Space in Doral","Discover an exceptional opportunity to lease a versatile industrial warehouse space at 1990 NW 88th Ct in Doral, FL. This property offers 1,800 square feet of functional space, featuring a clear ceiling height of 20 feet and equipped with one street-level door, making it ideal for various commercial and industrial uses. The warehouse includes a well-appointed office area, perfect for administrative tasks, and benefits from a strategic location with convenient access to major highways. With 3-phase power, this property ensures operational efficiency and is well-suited for businesses seeking a prime location in Doral’s thriving industrial market.",Industrial,For Lease,2000000.0,3900.0,Per month,1800.0,7500.0,Bobby Berrido
11,19794,"4600 Northwest 7th Avenue, Miami, Florida 33127",Miami,33127,hollywood,Prime 1500 Sq Ft Corner Suite for Art Studio or Retail in Miami,"Open your Art Studio or Retail store on Miami’s vibrant NW 7 Avenue and 46 Street. This location offers a 1500 square foot corner suite. Location offers assigned parking spaces. This building is situated in one of the majorNorth/South thorough fares, along with public transportation. Property is in direct connectivity to Wynwood, Design district, Allapatah and Miami Beach","""Office, Retail""",For Lease,2000000.0,31.0,Per square foot,1500.0,7500.0,Giovanni Bertolotti
12,19914,"21 West 49th Street, Hialeah, Florida 33012",Hialeah,33012,hollywood,EXCEPTIONAL MEDICAL OFFICE SPACE IN HIALEAH,"Discover this exceptional medical office space. Ideally situated along an East-West major commercial corridor in Hialeah. This high- traffic location provides excellent visibility and convenient access for your patients. This 1,805 Sq.Ft office space offers ample room to accommodate diverse medical practices and businesses. The pristine condition and versatile layout create a welcoming environment for patients and staff. The property was meticulously designed with the specific needs of medical professionals in mind. Spacious rooms provide the perfect setting for procedures and examinations. Large waiting areas ensure patient comfort, while dedicated office space efficiently supports administrative tasks. The office features private consulting rooms, a welcoming reception area, and a convenient break room/kitchen. This opportunity offers the flexibility to match your specific needs.",Office,For Lease,2000000.0,40.0,Per square foot,1717.0,7500.0,"Moises Figueroa,Tony Saladrigas"
13,19982,"1995 Northwest 88th Court, Doral, Florida 33172",Doral,33172,hollywood,"1,800 SF Warehouse Space in Doral","Discover an exceptional opportunity to lease a versatile industrial warehouse space at 1995 NW 88th Ct in Doral, FL. This property offers 1,800 square feet of functional space, featuring a clear ceiling height of 20 feet and equipped with one street-level door, making it ideal for various commercial and industrial uses. The warehouse includes a well-appointed office area, perfect for administrative tasks, and benefits from a strategic location with convenient access to major highways. With 3-phase power, this property ensures operational efficiency and is well-suited for businesses seeking a prime location in Doral’s thriving industrial market.",Industrial,For Lease,2000000.0,3800.0,Per month,1800.0,7500.0,Bobby Berrido
14,19093,"12955 Northwest 42nd Avenue, Opa-locka, Florida 33054",Opa-locka,33054,opa-locka,"10,000 SF Warehouse Space in Opa-Locka","Fausto Commercial Realty Consultants, as exclusive representative is pleased to present this excellent opportunity to lease a 10,000 SF free-standing warehouse located in the city of Opa-Locka. Situated on a corner lot, this property is strategically located in a highly sought-after industrial area of Miami-Dade County, providing easy access to major highways, including I-95, the Florida Turnpike, and the Palmetto Expressway. The warehouse boasts 20’ clear height ceilings, 1-Dock Height door, 1-Street level door, and ample parking. The facility is perfect for various industrial uses and operations.",Industrial,For Lease,2000000.0,15.0,Per square foot,10000.0,19796.0,Markos Bertolotti
15,19703,"1675 Northwest 124th Avenue, Sunrise, Florida 33323",Sunrise,33323,hollywood,"1,150 SF Industrial / Flex Warehouse in Sunrise","Industrial/Flex Warehouse for lease at the International Corporate Park! Discover optimal functionality in this warehouse facility spanning 1,150 square feet. Featuring 22 foot ceiling height and convenient access via one street-level door, this property also includes two assigned parking spaces for added convenience. Situated in close proximity to Sawgrass Expressway, I75 and 595, this prime location ensures seamless connectivity.",Industrial,For Lease,2000000.0,2400.0,Per month,1150.0,7500.0,Bobby Berrido
16,19127,"1335 Northwest 97th Avenue, Doral, Florida 33172",Doral,33172,doral,"1,800 SF Flex Space in Doral","Fausto Commercial Realty Consultants is pleased to present this opportunity to lease a 1800 SF warehouse space in the heart of Doral. The property is in close proximity to the Palmetto Expressway, Dolphin Expressway, and Florida Turnpike, offering a strategic location for distribution, logistics, and various industrial uses. The warehouse features a clear ceiling height of 20 feet, one street-level door, and 3-phase electrical power, making it suitable for a wide range of businesses.",Industrial,For Lease,2000000.0,2500.0,Per month,1800.0,7500.0,"Yuniel De Varona,Markos Bertolotti"
17,18864,"14505 Northwest 79th Court, Miami Lakes, Florida 33016",Miami Lakes,33016,miami lakes,1000 SF Warehouse in Miami Lakes,"Welcome to 14505 NW 79th CT. This industrial property features 1,000 sq ft of warehouse/office space and is located within a safe and well-maintained complex. The property is zoned for industrial use and is suitable for a variety of businesses. This space is ideal for small businesses, startups, or any company in need of functional and affordable warehouse space in Miami Lakes. The property is conveniently located, providing easy access to major highways and transportation routes.",Industrial,For Lease,2000000.0,2000.0,Per month,1000.0,7500.0,"Yuniel De Varona,Markos Bertolotti"
18,19123,"12760 Northwest 38th Avenue, Opa-locka, Florida 33054",Opa-locka,33054,opa-locka,"10,000 Sqft Warehouse for Lease","Fausto Commercial Realty Consultants, as exclusive representative is pleased to present a rare and unique opportunity to lease a 10,000 sqft warehouse in the heart of Opa Locka. This property is located in a highly sought-after industrial area of Miami-Dade County, with easy access to major highways, including I-95, the Florida Turnpike, and the Palmetto Expressway, making it an ideal location for businesses with transportation and logistics needs. With 18’ Ft Ceiling Height, 1-Dock Height door and 1-Street Level door, this warehouse offers ample space and flexibility for various industrial and commercial uses.",Industrial,For Lease,2000000.0,15.0,Per square foot,10000.0,19970.0,"Yuniel De Varona,Markos Bertolotti"
19,20364,"Northwest 82nd Street, Doral, Florida 33178",Doral,33178,hollywood,The Grand at Doral: Prime Retail and Multifamily Opportunity in a Thriving High-Income Community,"The Grand at Doral, located at 11150 NW 82nd St in Doral, FL, offers an exceptional blend of multifamily living and retail opportunity within a thriving community. This property features 80 upscale residential units complemented by retail space on the ground floor, providing up to four available storefronts with options for contiguous expansion. Ideal for diverse uses such as child care centers, doctor’s offices, dance or karate studios, convenience stores, or bakeries, these spaces are designed to cater to the community’s needs. With an impressive average household income exceeding $120,000 and a local population of over 75,000 within a 3-mile radius, the Grand at Doral presents a prime opportunity for businesses seeking to tap into a prosperous and growing market. The strategic location and high-income demographic make this retail space an optimal choice for businesses aiming to establish a strong presence in a vibrant and well-established area.",Retail,For Lease,2000000.0,50.0,Per square foot,10796.0,7500.0,"Bobby Berrido,Tony Saladrigas,Markos Bertolotti"
20,19132,"12555 Northwest 38th Avenue, Opa-locka, Florida 33054",Opa-locka,33054,hollywood,"10,000 Sqft Warehouse for Lease","Fausto Commercial Realty Consultants, as exclusive representative is pleased to present a rare and unique opportunity to lease a 10,000 sqft warehouse in the heart of Opa Locka. This property is located in a highly sought-after industrial area of Miami-Dade County, with easy access to major highways, including I-95, the Florida Turnpike, and the Palmetto Expressway, making it an ideal location for businesses with transportation and logistics needs. With 18’ Ft Ceiling Height, 1-Dock Height door and 1-Street Level door, this warehouse offers ample space and flexibility for various industrial and commercial uses.",Industrial,For Lease,2000000.0,15.0,Per square foot,10000.0,19796.0,"Yuniel De Varona,Markos Bertolotti"
21,19294,"2601 Northwest 105th Avenue, Doral, Florida 33172",Doral,33172,hollywood,"19,980 Sq Ft Warehouse in Doral","Strategically located in Doral, known for its vibrant business community, 2601 NW 105 Ave nearly 20,000 square feet of versatile space, making it an ideal choice for a range of industrial and commercial endeavors. Property consists of +/- 14k SF of Warehouse, +/-5k SF of Office, +/- 5k SF of Mezzanine, 23 parking spots, and 2 Dock Height Doors. This property benefits from a central and well-connected location. Businesses can take advantage of the proximity to key transportation routes, ensuring seamless connectivity to major highways and logistical hubs.",Industrial,For Lease,2000000.0,20.0,Per square foot,19980.0,27838.0,Bobby Berrido
22,19790,"6176 Northwest 186th Street, Hialeah, Florida 33015",Hialeah,33015,hollywood,"1,780 SF Warehouse Space in Hialeah","Discover an exceptional opportunity at 6176 NW 186th St, a prime warehouse condo boasting 1,780 sqft of space. This facility is ideally suited for diverse business needs, offering a clear ceiling height of 18 feet and a convenient street-level door. It features a well-designed layout, including 200 sqft of office space with central A/C and a private bathroom. The property is equipped with 3-phase power, ensuring efficient operations. Additionally, it includes two assigned parking spaces for added convenience. Situated just one block from the Palmetto Expressway, this location provides easy access to major transportation routes, enhancing its appeal for businesses seeking strategic positioning.",Industrial,For Lease,2000000.0,2950.0,Per month,1780.0,7500.0,Bobby Berrido
23,19841,"1807 Southwest 8th Street, Miami, Florida 33135",Miami,33135,hollywood,2ND GEN RESTAURANT SPACE,"Set Up Your Restaurant in Front of 3.5 Million Yearly Visitors. On offer is a 1,500sf Restaurant ready space on Calle Ocho’s Main Drag. Daylight hours bring hordes of foreign tourists, while the night time bring local Miami’s for the nightlife, on this one of Miami’s liveliest commercial drags. 3.5 MILLION tourists visit THIS BLOCK every year, yearning for an authentic local experience and with open wallets, guaranteeing the success of your location here.",Retail,For Lease,2000000.0,7500.0,Per month,1500.0,7500.0,Alessandro Lima
24,19131,"10800 Northwest 106th Street, Medley, Florida 33178",Medley,33178,medley,"1,800 SF Warehouse in Medley","Fausto Commercial Realty Consultants, as exclusive representative is pleased to present an excellent opportunity to lease an industrial condo-warehouse located in the city of Medley. This space offers 1,800 sqft, and the flexibility to accommodate various industrial uses, such as warehousing, manufacturing, logistics and distribution. With 18’ Ft Ceiling Height and 1-Street Level door. The property is in the heart of Medley, and offers close proximity to Palmetto Expressway, Okeechobee Rd, and 10-15 minutes from Miami International Airport.",Industrial,For Lease,2000000.0,3600.0,Per month,1800.0,7500.0,"Yuniel De Varona,Markos Bertolotti"
25,19136,"1335 Northwest 29th Street, Miami, Florida 33142",Miami,33142,hollywood,"1,552 SF Retail Space with T6-8-O Zoning","Introducing a retail property located at 1335 NW 29th St, this 1,552 sqft space provides a great opportunity for businesses seeking a well-positioned location in a lively community. Zoned as T6-8-O, this property offers a unique blend of urban development potential and retail convenience, making it a prime choice for a wide range of business ventures. The location is also surrounded by residential properties, ensuring a steady flow of potential customers. The property is situated in a highly desirable area, offering excellent accessibility and a high volume of foot traffic. Whether you’re planning to open a boutique, cafe, or any retail establishment, this property offers endless potential.",Retail,For Lease,2000000.0,3500.0,Per month,1552.0,7500.0,Alessandro Lima
26,19040,"7760 Northwest 79th Avenue, Medley, Florida 33166",Medley,33166,medley,"1,092 SF Warehouse Space in Medley","Discover a prime industrial space at 7760 NW 79th Ave in Medley, FL. This well-maintained warehouse condo offers 1,092 square feet of versatile space, featuring a clear ceiling height of 18 feet and one street-level door for easy loading and unloading. The property includes a small office, perfect for administrative tasks, and benefits from a strategic location near major highways, ensuring excellent connectivity. The building is equipped with 3-phase electrical power, accommodating a range of industrial and commercial uses. Don’t miss this opportunity to secure a functional and accessible warehouse space in a thriving industrial area.",Industrial,For Lease,2000000.0,2500.0,Per month,1092.0,7500.0,"Bobby Berrido,Markos Bertolotti"
27,19408,"14450 Northwest 60th Avenue, Miami Lakes, Florida 33014",Miami Lakes,33014,hollywood,"1,095 SF Warehouse Space in Miami Lakes","1,095 SF of warehouse space available for lease at the Palmetto Lakes Industrial Park. This industrial park offers an excellent location, situated with immediate access to the Palmetto Expressway, and close proximity to I-75 and Florida Turnpike. The warehouse is equipped with a street-level door, 20-foot ceilings, and a small office space. It’s ideal for various industrial uses, including storage, distribution, and light manufacturing.",Industrial,For Lease,2000000.0,1795.0,Per month,1095.0,7500.0,"Yuniel De Varona,Markos Bertolotti"
28,19313,"505 Northeast 125th Street, North Miami, Florida 33161",North Miami,33161,hollywood,"1,164 SF Retail Space in North Miami","Fausto Commercial is pleased to offer this unique retail space in the heart of North Miami. The property features 1,164 sqft of retail space with direct frontage to 125th St, one of Miami’s most popular corridors. The space is currently a retail store but is well suited for a multitude of uses including retail, office, medical, etc. This is a great opportunity to be in the heart of North Miami and be surrounded by local and national businesses. The North Miami area enjoys great public transportation, centric to all the major neighborhoods and employment centers, walkability, and a rich cultural environment. Thousands of daily tourists complement the heavy local population density, yielding great foot traffic and customer flow.",Retail,For Lease,2000000.0,2800.0,Per month,1164.0,7500.0,"Ryan Carney,Alessandro Lima"
29,19953,"1841 Northwest 20th Street, Miami, Florida 33142",Miami,33142,hollywood,"1,500 SQFT RENOVATED RETAIL SPACE","Open your business on Miami’s vibrant Nw 20th ST Allapattah. This retail building in the heart of Allapattah offers a freestanding 1,500sf building with parking, well suited for a multitude of uses such as retail store, medical, lounge, office, etc. Site is located in Allapattah, a bustling neighborhood with a strong business community and employment, a great local working population, and quick access to urban core neighborhoods such as downtown, Brickell, etc; other important hubs such as the airport, civic center, and more; as well as quick access to major highways such as I-95, 826/Dolphin Expressway, and more.",Retail,For Lease,2000000.0,4500.0,Per month,1500.0,7500.0,Alessandro Lima
30,19764,"8201 North Miami Avenue, Little River, Miami, Florida 33150",Miami,33150,hollywood,"Prime Development Opportunity: Little River - 32,000 Sq Ft Property with High Visibility","Fausto Commercial presents 8201 N Miami Ave, a prime property in Little River, Miami. The property spans nearly 32,000 square feet and is zoned T5-O, offering versatility for various vertical projects. Positioned on a hard corner, it benefits from high visibility with over 30,000 daily passing cars. Its strategic location near 79 Street and Biscayne Boulevard ensures unmatched accessibility. Additionally, it’s in the path of development similar to Wynwood. The property qualifies for SB 102, offering funding for essential workforce housing initiatives. Whether for housing, business, or community development, this property offers a rare chance to be part of Little River’s promising evolution.",Land development,For Sale,2000000.0,15.0,Per month,2130.0,31880.0,"Bobby Berrido,Giovanni Bertolotti"
31,19948,"1837 Northwest 20th Street, Miami, Florida 33142",Miami,33142,hollywood,"2,755 SQFT RENOVATED RETAIL SPACE","Open your business on Miami’s vibrant Nw 20th ST Allapattah. This retail building in the heart of Allapattah offers a freestanding 2,755sf building with parking, well suited for a multitude of uses such as retail store, medical, lounge, office, etc. Site is located in Allapattah, a bustling neighborhood with a strong business community and employment, a great local working population, and quick access to urban core neighborhoods such as downtown, Brickell, etc; other important hubs such as the airport, civic center, and more; as well as quick access to major highways such as I-95, 826/Dolphin Expressway, and more.",Retail,For Lease,2000000.0,7500.0,Per month,2755.0,7500.0,Alessandro Lima
32,19318,"12750 Northwest 42nd Avenue, Opa-locka, Florida 33054",Opa-locka,33054,hollywood,1.21 Acre Industrial Land for Lease,"Fausto Commercial Realty Consultants, as exclusive representative is pleased to present a rare and unique opportunity to lease a 1.21 Acres lot in the heart of Opa-Locka. This expansive property offers the space and flexibility you need to design, build and expand your ideal industrial facility. Offering a massive 52,995 SF of heavy zoned industrial land, making it an ideal location for a variety of businesses and uses. City of Opa Locka, remains one of the very few industrial districts which allows for this type of specific use. This is a rare opportunity to secure a strategic location for your business’s future growth and success.",Industrial,For Lease,2000000.0,12000.0,Per month,0.0,52995.0,"Yuniel De Varona,Markos Bertolotti"
33,22044,"3241 Northwest 7th Street, Miami, Florida 33125",Miami,33125,hollywood,Prime Retail Building,"Take advantage of this exceptional opportunity to lease a highly visible retail space in a thriving area of Miami! This well-proportioned space is perfect for retail, office, or service-based businesses and is ideally situated on NW 7th Street, offering excellent exposure and accessibility in a vibrant commercial corridor. Located in a high-traffic area surrounded by residential and commercial developments, this property ensures a steady flow of potential customers, with ample signage opportunities and convenient parking. Multiple Spaces Available: Unit 3245- 900 sqft Unit 3247- 900 sqft Unit 3249- 900 sqft Unit 3251- 900 sqft",Retail,For Lease,2000000.0,3.5,Per square foot,900.0,7500.0,"Ashleen Cruz,Alessandro Lima"
34,19285,"2575 Northwest 72nd Avenue, Miami, Florida 33122",Miami,33122,hollywood,"1,087 SF of Miami Industrial Park/Warehouse Space","1,087 SF of warehouse space available for lease at the Miami International Industrial Park. This industrial park offers an excellent location, situated in close proximity to the Miami International Airport, Dolphin Expressway and Palmetto Expressway. The warehouse is equipped with a street-level door, 18-foot ceilings, and a small office space. It's ideal for various industrial uses, including storage, distribution, and light manufacturing.",Industrial,For Lease,2000000.0,1650.0,Per month,1087.0,7500.0,"Yuniel De Varona,Markos Bertolotti"
35,19829,"12780 Northwest 38th Avenue, Opa-locka, Florida 33054",Opa-locka,33054,hollywood,"10,000 Sq.Ft. Industrial Warehouse in Opa-Locka","Fausto Commercial is pleased to present 12780 NW 38 Ave, an industrial warehouse available for lease in Opa-Locka, FL. This property offers 10,000 sqft of warehouse space, ideal for various industrial uses. Featuring a ceiling height of 18 feet, the warehouse provides ample vertical clearance for storage and operations. It includes one dock-height loading door and one street-level door, facilitating efficient loading and unloading. The building is equipped with 3-phase electrical power and benefits from a sturdy twin-T roof construction.",Industrial,For Lease,2000000.0,15.0,Per square foot,10000.0,19821.0,Markos Bertolotti
36,19398,"2293 West 76th Street, Hialeah, Florida 33016",Hialeah,33016,hollywood,"3,200 Sq Ft Warehouse in Hialeah","Discover an exceptional leasing opportunity at 2293 W 76 ST, featuring a spacious warehouse encompassing over 3,200 square feet. This versatile property boasts an 18- foot clear ceiling height, perfect for accommodating various storage or operational needs. Accessibility is a breeze with a convenient street-level door and ample parking with five dedicated spaces. Strategically located near major highways, including I-75, the Palmetto Expressway, and the Florida Turnpike, this warehouse offers unparalleled connectivity for seamless business operations. Don’t miss the chance to elevate your enterprise in this prime, well-appointed industrial space.",Industrial,For Lease,2000000.0,5300.0,Per month,3200.0,7500.0,Bobby Berrido
37,20106,"12301 Northwest 27th Avenue, Miami, Florida 33167",Miami,33167,hollywood,URBAN CENTER DEVELOPMNET SITE FOR SALE UNINCOPORATED MIAMI-DADE COUNTY,"Fausto Commercial is pleased to exclusively present 2838 NW 125 ST, a prime industrial lot available for lease. Located in the heart of Miami, Florida’s bustling industrial district. This vacant lot spans over 1.55 acres, offering ample space for your business operations. Zoned for industrial use, this property is ideal for truck parking, storage, or any other industrial purposes. The lot is easily accessible from major highways and thoroughfares, providing convenient transportation access for both employees and goods. It is fully serviced with water, sewer, and electricity connections readily available, making it easy to get your business up and running quickly. The property is in a secure and well-maintained industrial park, providing peace of mind and a professional image for your business. This is an excellent opportunity to establish or expand your business operations in a prime location.",Industrial,For Lease,2000000.0,5.5,Per square foot,0.0,67500.0,"Yuniel De Varona,Markos Bertolotti"
38,19942,"3438 Southwest 8th Street, Miami, Florida 33135",Miami,33135,hollywood,2ND GENERATION RESTURANT CALLE OCHO,"Turn Key Restaurant ready space across the street from world famous Versailles Restaurant. This space comes with everything you need to open your business tomorrow! Up to date grease trap and hood, walking cooler, bar, 3 bathrooms, office, storage room and over 25+ parking spaces! This building is located right on the world famous Calle 8 with new restaurants, bars, and nightlife flooding into the area. The area enjoys great public transportation, centric to all the major neighborhoods and employment centers, walkability, and a rich cultural environment. Thousands of daily tourist complement the heavy local population density, yielding great foot traffic and customer flow. $65,000 Key Money required.",Retail,For Lease,2000000.0,7500.0,Per month,1950.0,7500.0,"Tony Saladrigas,Alessandro Lima"
39,20316,"2691 West 76th Street, Hialeah, Florida 33016",Hialeah,33016,hollywood,"Modern 2,300 Sq. Ft. Warehouse in Hialeah's Industrial Hub with Air Conditioning, High Ceilings, and Convenient Access","Located in the vibrant heart of Hialeah, 2691 W 76th St offers an exceptional warehouse space that combines functionality with modern amenities. Spanning nearly 2,300 square feet, this property is fully air-conditioned, ensuring a comfortable working environment year-round. The space features a single street-level door for easy access, 18 feet of clear ceiling height ideal for various industrial operations, and two dedicated parking spaces. Additionally, the warehouse is equipped with a convenient bathroom, making it a versatile and practical choice for businesses. Zoned M-1 Light Industrial, this property benefits from the city's favorable regulations for industrial activities while being situated in a dynamic area with excellent accessibility. Whether you need a secure location for storage, manufacturing, or light industrial use, this warehouse provides the infrastructure and flexibility to meet your business needs efficiently.",Industrial,For Lease,2000000.0,4200.0,Per month,2300.0,7500.0,Bobby Berrido
40,19390,"12955 Northwest 42nd Avenue, Opa-locka, Florida 33054",Opa-locka,33054,hollywood,"10,000 SF Warehouse in Opa-Locka For Lease","Fausto Commercial Realty Consultants, as exclusive representative is pleased to present this excellent opportunity to lease a 10,000 SF free-standing warehouse located in the city of Opa-Locka. Situated on a corner lot, this property is strategically located in a highly sought-after industrial area of Miami-Dade County, providing easy access to major highways, including I-95, the Florida Turnpike, and the Palmetto Expressway. The warehouse boasts 20’ clear height ceilings, 1-Dock Height door, 1-Street level door, and ample parking. The facility is perfect for various industrial uses and operations.",Industrial,For Lease,2000000.0,15.0,Per square foot,10000.0,19789.0,Markos Bertolotti
